loss,accuracy,lr
0.7972610592842102,0.5,0.001
0.5492541193962097,0.9285714030265808,0.001
0.2802447974681854,0.9642857313156128,0.001
0.08254463225603104,1.0,0.001
0.037460874766111374,1.0,0.001
0.011466498486697674,1.0,0.001
0.0086003253236413,1.0,0.001
0.006000943947583437,1.0,0.001
0.003839336335659027,1.0,0.001
0.002600820502266288,1.0,0.001
0.002044857945293188,1.0,0.001
0.0018545102793723345,1.0,0.001
0.0017711083637550473,1.0,0.001
0.0015803196001797915,1.0,0.001
0.0012812229106202722,1.0,0.001
0.0009901102166622877,1.0,0.001
0.0007755617843940854,1.0,0.001
0.0006384022417478263,1.0,0.001
0.0005617039278149605,1.0,0.001
0.0005219718441367149,1.0,0.001
0.0005032173357903957,1.0,0.001
0.0004910129937343299,1.0,0.001
0.00047434840234927833,1.0,0.001
0.0004501646035350859,1.0,0.001
0.0004186934675090015,1.0,0.001
0.0003844486200250685,1.0,0.001
0.0003514367563184351,1.0,0.001
0.00032153347274288535,1.0,0.001
0.0002958800469059497,1.0,0.001
0.00027412103372626007,1.0,0.001
0.00025540683418512344,1.0,0.001
0.00023901500389911234,1.0,0.001
0.000224456685828045,1.0,0.001
0.00021136619034223258,1.0,0.001
0.00019947125110775232,1.0,0.001
0.00018855925009120256,1.0,0.001
0.00017862590902950615,1.0,0.001
0.0001695648388704285,1.0,0.001
0.00016143571701832116,1.0,0.001
0.0001542002719361335,1.0,0.001
0.0001478457561461255,1.0,0.001
0.0001422317436663434,1.0,0.001
0.0001372220867779106,1.0,0.001
0.00013273167132865638,1.0,0.001
0.00012872643128503114,1.0,0.001
0.00012505742779467255,1.0,0.001
0.00012162675557192415,1.0,0.00020000001
0.0001209372203447856,1.0,0.00020000001
0.00012023490853607655,1.0,0.00020000001
0.00011950706539209932,1.0,0.00020000001
0.0001187834786833264,1.0,0.00020000001
0.00011804710084106773,1.0,0.00020000001
0.0001172894480987452,1.0,0.00020000001
0.00011652754619717598,1.0,0.00020000001
0.00011578267003642395,1.0,0.00020000001
0.00011502927372930571,1.0,0.00020000001
0.00011426735727582127,1.0,1e-04
0.0001138970474130474,1.0,1e-04
0.00011353950685588643,1.0,1e-04
0.00011316919699311256,1.0,1e-04
0.00011281164915999398,1.0,1e-04
0.00011244560300838202,1.0,1e-04
0.00011207953502889723,1.0,1e-04
0.00011171347432537004,1.0,1e-04
0.00011136870307382196,1.0,1e-04
0.00011101966083515435,1.0,1e-04
0.00011068765161326155,1.0,1e-04
0.00011034288036171347,1.0,1e-04
0.00011001512029906735,1.0,1e-04
0.00010968312562908977,1.0,1e-04
0.00010937665501842275,1.0,1e-04
0.00010904889495577663,1.0,1e-04
0.00010872965503949672,1.0,1e-04
0.00010842743358807638,1.0,1e-04
0.000108112464658916,1.0,1e-04
0.00010781449964269996,1.0,1e-04
0.00010751227819127962,1.0,1e-04
0.0001072356099030003,1.0,1e-04
0.00010695467062760144,1.0,1e-04
0.00010666948219295591,1.0,1e-04
0.00010640131949912757,1.0,1e-04
0.00010612890037009493,1.0,1e-04
0.00010584796837065369,1.0,1e-04
0.00010558405483607203,1.0,1e-04
0.00010532014857744798,1.0,1e-04
0.00010508178093004972,1.0,1e-04
0.00010481360368430614,1.0,1e-04
0.0001045709868776612,1.0,1e-04
0.00010430708061903715,1.0,1e-04
0.00010406018554931507,1.0,1e-04
0.00010380904859630391,1.0,1e-04
0.00010357494466006756,1.0,1e-04
