loss,accuracy,lr
1.9173563718795776,0.3125,0.001
1.3907687664031982,0.3125,0.001
1.2395029067993164,0.3125,0.001
1.2045459747314453,0.375,0.001
1.1887928247451782,0.375,0.001
1.1751141548156738,0.375,0.001
1.1531944274902344,0.375,0.001
1.1249067783355713,0.375,0.001
1.0905842781066895,0.5,0.001
1.0420361757278442,0.8125,0.001
0.9957314133644104,0.8125,0.001
0.9516404271125793,0.875,0.001
0.899817705154419,0.875,0.001
0.8643014430999756,0.8125,0.001
0.8087170124053955,0.875,0.001
0.7712993621826172,0.875,0.001
0.7238540649414062,0.875,0.001
0.6826640367507935,0.875,0.001
0.6402677297592163,0.875,0.001
0.6126473546028137,0.9375,0.001
0.5812655687332153,0.875,0.001
0.5631457567214966,0.875,0.001
0.5724526643753052,0.9375,0.001
0.49147436022758484,0.875,0.001
0.4958779215812683,0.875,0.001
0.43775486946105957,0.875,0.001
0.4291183352470398,0.9375,0.001
0.38597050309181213,1.0,0.001
0.36781731247901917,1.0,0.001
0.34903645515441895,1.0,0.001
0.3840463161468506,1.0,0.001
0.39780646562576294,0.9375,0.001
0.332920640707016,0.9375,0.001
0.3210923671722412,1.0,0.001
0.31058019399642944,1.0,0.001
0.27843379974365234,1.0,0.001
0.2741069793701172,1.0,0.001
0.26469844579696655,1.0,0.001
0.24318279325962067,1.0,0.001
0.2383902668952942,1.0,0.001
0.20982861518859863,1.0,0.001
0.20398709177970886,1.0,0.001
0.1912754774093628,1.0,0.001
0.18739159405231476,1.0,0.001
0.17393876612186432,1.0,0.001
0.1649426966905594,1.0,0.001
0.15741117298603058,1.0,0.001
0.14807718992233276,1.0,0.001
0.14507387578487396,1.0,0.001
0.1372784674167633,1.0,0.001
0.13076959550380707,1.0,0.001
0.12390461564064026,1.0,0.001
0.11795642971992493,1.0,0.001
0.11332091689109802,1.0,0.001
0.10865308344364166,1.0,0.001
0.10411939024925232,1.0,0.001
0.10094651579856873,1.0,0.001
0.09349261224269867,1.0,0.001
0.09081795811653137,1.0,0.001
0.08725219964981079,1.0,0.001
0.08299962431192398,1.0,0.001
0.08013075590133667,1.0,0.001
0.07719863206148148,1.0,0.001
0.07379435747861862,1.0,0.001
0.0708187073469162,1.0,0.001
0.06872761249542236,1.0,0.001
0.06670650839805603,1.0,0.001
0.06330885738134384,1.0,0.001
0.06080210953950882,1.0,0.001
0.05909580737352371,1.0,0.001
0.05715610086917877,1.0,0.001
0.05495525151491165,1.0,0.001
0.05306891351938248,1.0,0.001
0.05172634869813919,1.0,0.001
0.05025836080312729,1.0,0.001
0.048512596637010574,1.0,0.001
0.046724505722522736,1.0,0.001
0.04527974873781204,1.0,0.001
0.04422484338283539,1.0,0.001
0.04306924715638161,1.0,0.001
0.04173494502902031,1.0,0.001
0.0404784232378006,1.0,0.001
0.039327122271060944,1.0,0.001
0.03833848237991333,1.0,0.001
0.03744618967175484,1.0,0.001
0.03656952455639839,1.0,0.001
0.03574742376804352,1.0,0.001
0.034796714782714844,1.0,0.001
0.03385069966316223,1.0,0.001
0.032883211970329285,1.0,0.001
0.03202655166387558,1.0,0.001
0.03130096197128296,1.0,0.001
0.030637670308351517,1.0,0.001
0.03007620945572853,1.0,0.001
0.029504520818591118,1.0,0.001
0.028994843363761902,1.0,0.001
0.0281794723123312,1.0,0.001
0.027282191440463066,1.0,0.001
0.026631571352481842,1.0,0.001
0.026252418756484985,1.0,0.001
0.025760039687156677,1.0,0.001
0.02495475858449936,1.0,0.001
0.024325162172317505,1.0,0.001
0.023924019187688828,1.0,0.001
0.02349751815199852,1.0,0.001
0.023045362904667854,1.0,0.001
0.022459812462329865,1.0,0.001
0.021924013271927834,1.0,0.001
0.021568749099969864,1.0,0.001
0.021241575479507446,1.0,0.001
0.02086815983057022,1.0,0.001
0.02034643292427063,1.0,0.001
0.019920065999031067,1.0,0.001
0.01959364116191864,1.0,0.001
0.019270766526460648,1.0,0.001
0.018943587318062782,1.0,0.001
0.01856347918510437,1.0,0.001
0.018203452229499817,1.0,0.001
0.017920998856425285,1.0,0.001
0.017672164365649223,1.0,0.001
0.01737762801349163,1.0,0.001
0.017064522951841354,1.0,0.001
0.016727082431316376,1.0,0.001
0.016448285430669785,1.0,0.001
0.01622799038887024,1.0,0.001
0.015987234190106392,1.0,0.001
0.01569867879152298,1.0,0.001
0.015402032062411308,1.0,0.001
0.015143554657697678,1.0,0.001
0.01493094116449356,1.0,0.001
0.014730631373822689,1.0,0.001
0.014515082351863384,1.0,0.001
0.014259976334869862,1.0,0.001
0.014014706015586853,1.0,0.001
0.013813698664307594,1.0,0.001
0.013647131621837616,1.0,0.001
0.01345116924494505,1.0,0.001
0.013228468596935272,1.0,0.001
0.012991788797080517,1.0,0.001
0.012795339338481426,1.0,0.001
0.012629657983779907,1.0,0.001
0.012454545125365257,1.0,0.001
0.012281734496355057,1.0,0.001
0.012098967097699642,1.0,0.001
0.011941792443394661,1.0,0.001
0.011814073659479618,1.0,0.001
0.0116822998970747,1.0,0.001
0.011529892683029175,1.0,0.001
0.01134948804974556,1.0,0.001
0.011175278574228287,1.0,0.001
0.011037417687475681,1.0,0.001
0.010905750095844269,1.0,0.001
0.010762674733996391,1.0,0.001
0.010607248172163963,1.0,0.001
0.010470781475305557,1.0,0.001
0.010344177484512329,1.0,0.001
0.010217154398560524,1.0,0.001
0.010083464905619621,1.0,0.001
0.00993998721241951,1.0,0.001
0.009807320311665535,1.0,0.001
0.009690029546618462,1.0,0.001
0.009574968367815018,1.0,0.001
0.009449820965528488,1.0,0.001
0.009325707331299782,1.0,0.001
0.009209556505084038,1.0,0.001
0.009093224070966244,1.0,0.001
0.008981981314718723,1.0,0.001
0.0088759521022439,1.0,0.001
0.008774522691965103,1.0,0.001
0.008669773116707802,1.0,0.001
0.008563002571463585,1.0,0.001
0.008459843695163727,1.0,0.001
0.008360099047422409,1.0,0.001
