loss,accuracy,lr
2.592118501663208,0.1090909093618393,0.001
2.106489896774292,0.1090909093618393,0.001
1.560988187789917,0.5636363625526428,0.001
1.2082589864730835,0.6363636255264282,0.001
0.9494909048080444,0.7818182110786438,0.001
0.7497116327285767,0.8727272748947144,0.001
0.6046497821807861,0.9272727370262146,0.001
0.49214622378349304,0.9272727370262146,0.001
0.40856102108955383,0.9454545378684998,0.001
0.33595824241638184,0.9454545378684998,0.001
0.2840377390384674,0.9454545378684998,0.001
0.24239616096019745,0.9636363387107849,0.001
0.20137305557727814,0.9818181991577148,0.001
0.17121565341949463,0.9818181991577148,0.001
0.14494578540325165,0.9818181991577148,0.001
0.11915144324302673,0.9818181991577148,0.001
0.0994424819946289,0.9818181991577148,0.001
0.08418741822242737,0.9818181991577148,0.001
0.07269906997680664,1.0,0.001
0.06343112140893936,1.0,0.001
0.05300069972872734,1.0,0.001
0.042482081800699234,1.0,0.001
0.03722993656992912,1.0,0.001
0.03199679031968117,1.0,0.001
0.026328466832637787,1.0,0.001
0.023225771263241768,1.0,0.001
0.0202296394854784,1.0,0.001
0.017550744116306305,1.0,0.001
0.015808068215847015,1.0,0.001
0.014253868721425533,1.0,0.001
0.01227442268282175,1.0,0.001
0.011673078872263432,1.0,0.001
0.010153666138648987,1.0,0.001
0.009026152081787586,1.0,0.001
0.008489854633808136,1.0,0.001
0.007590064313262701,1.0,0.001
0.006920417305082083,1.0,0.001
0.006452769041061401,1.0,0.001
0.005831338930875063,1.0,0.001
0.00536498473957181,1.0,0.001
0.005067072808742523,1.0,0.001
0.004736694972962141,1.0,0.001
0.004310027230530977,1.0,0.001
0.004015479236841202,1.0,0.001
0.003836479503661394,1.0,0.001
0.003617188660427928,1.0,0.001
0.003372868523001671,1.0,0.001
0.0031762600410729647,1.0,0.001
0.003021123120561242,1.0,0.001
0.0028613379690796137,1.0,0.001
0.002699061995372176,1.0,0.001
0.002571852644905448,1.0,0.001
0.00247201113961637,1.0,0.001
0.002368892077356577,1.0,0.001
0.0022613643668591976,1.0,0.001
0.002165562240406871,1.0,0.001
0.002084586536511779,1.0,0.001
0.0020111743360757828,1.0,0.001
0.0019360317382961512,1.0,0.001
0.0018578901654109359,1.0,0.001
0.0017878663493320346,1.0,0.001
0.001733375363983214,1.0,0.001
0.0016844056081026793,1.0,0.001
0.0016304085729643703,1.0,0.001
0.0015758019872009754,1.0,0.001
0.001528691267594695,1.0,0.001
0.0014881058596074581,1.0,0.001
0.0014474469935521483,1.0,0.001
0.001405075890943408,1.0,0.001
0.0013666056329384446,1.0,0.001
0.0013347530039027333,1.0,0.001
0.0013038406614214182,1.0,0.001
0.0012697414495050907,1.0,0.001
0.0012368005700409412,1.0,0.001
0.0012087953509762883,1.0,0.001
0.0011839305516332388,1.0,0.001
0.001158852712251246,1.0,0.001
0.0011330537963658571,1.0,0.001
0.0011082049459218979,1.0,0.001
0.0010851694969460368,1.0,0.001
0.0010634943610057235,1.0,0.001
0.001042261952534318,1.0,0.001
0.001021670876070857,1.0,0.001
0.0010020366171374917,1.0,0.001
0.0009833319345489144,1.0,0.001
0.0009652822045609355,1.0,0.001
0.0009476789855398238,1.0,0.001
0.0009304368868470192,1.0,0.001
0.0009139234316535294,1.0,0.001
0.0008983071311376989,1.0,0.001
0.0008832484600134194,1.0,0.001
0.0008683211635798216,1.0,0.001
0.0008535905508324504,1.0,0.001
0.0008395247277803719,1.0,0.001
0.0008262364426627755,1.0,0.001
0.0008133618393912911,1.0,0.001
0.0008005501586012542,1.0,0.001
0.0007879094919189811,1.0,0.001
0.000775775290094316,1.0,0.001
0.0007641778793185949,1.0,0.001
0.0007528224959969521,1.0,0.001
